,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
484,2016,TEXAS,Total,"20,172","17,378","11,724",58.1,1.2,1.2,1.2,1.3,67.5,1.2,1.2,1.2,1.3,"9,626",47.7,1.2,1.2,1.2,1.3,55.4,1.2,1.2,1.2,1.3
487,2016,TEXAS,White,"16,095","13,909","9,306",57.8,1.3,1.3,1.3,1.4,66.9,1.3,1.3,1.3,1.4,"7,700",47.8,1.3,1.3,1.3,1.4,55.4,1.3,1.3,1.3,1.4
489,2016,TEXAS,Black,"2,458","2,358","1,724",70.2,3.7,3.7,4,4.1,73.1,3.7,3.7,4,4.1,"1,349",54.9,3.7,3.7,4,4.1,57.2,3.7,3.7,4,4.1
491,2016,TEXAS,Hispanic,"6,923","4,781","2,654",38.3,3.1,3.8,2.8,3.7,55.5,3.1,3.8,2.8,3.7,"1,938",28,3.1,3.8,2.8,3.7,40.5,3.1,3.8,2.8,3.7
495,2016,UTAH,Total,"2,096","1,969","1,398",66.7,2.3,2.2,2.4,2.4,71,2.3,2.2,2.4,2.4,"1,234",58.9,2.3,2.2,2.4,2.4,62.7,2.3,2.2,2.4,2.4
498,2016,UTAH,White,"1,955","1,852","1,339",68.5,2.3,2.3,2.4,2.5,72.3,2.3,2.3,2.4,2.5,"1,181",60.4,2.3,2.3,2.4,2.5,63.8,2.3,2.3,2.4,2.5
500,2016,UTAH,Black,20,16,8,B,B,B,B,B,B,B,B,B,B,7,B,B,B,B,B,B,B,B,B,B
502,2016,UTAH,Hispanic,245,148,94,38.5,10.7,13.6,10.5,14,63.8,10.7,13.6,10.5,14,86,35,10.7,13.6,10.5,14,58.1,10.7,13.6,10.5,14
506,2016,VERMONT,Total,500,488,351,70.2,2.8,2.8,3,3,71.9,2.8,2.8,3,3,305,61,2.8,2.8,3,3,62.5,2.8,2.8,3,3
509,2016,VERMONT,White,468,464,339,72.5,2.8,2.8,3.1,3.1,73,2.8,2.8,3.1,3.1,293,62.7,2.8,2.8,3.1,3.1,63.2,2.8,2.8,3.1,3.1
511,2016,VERMONT,Black,5,4,2,B,B,B,B,B,B,B,B,B,B,1,B,B,B,B,B,B,B,B,B,B
513,2016,VERMONT,Hispanic,5,4,3,B,B,B,B,B,B,B,B,B,B,3,B,B,B,B,B,B,B,B,B,B
517,2016,VIRGINIA,Total,"6,343","5,829","4,399",69.4,1.9,1.9,2,2,75.5,1.9,1.9,2,2,"3,973",62.6,1.9,1.9,2,2,68.2,1.9,1.9,2,2
520,2016,VIRGINIA,White,"4,459","4,172","3,218",72.2,2.3,2.2,2.4,2.4,77.1,2.3,2.2,2.4,2.4,"2,891",64.8,2.3,2.2,2.4,2.4,69.3,2.3,2.2,2.4,2.4
522,2016,VIRGINIA,Black,"1,189","1,136",817,68.7,5.5,5.4,5.7,5.8,71.9,5.5,5.4,5.7,5.8,738,62,5.5,5.4,5.7,5.8,64.9,5.5,5.4,5.7,5.8
524,2016,VIRGINIA,Hispanic,606,342,240,39.5,10.5,13.1,10.3,13.7,70.1,10.5,13.1,10.3,13.7,219,36.2,10.5,13.1,10.3,13.7,64.2,10.5,13.1,10.3,13.7
528,2016,WASHINGTON,Total,"5,592","5,104","3,906",69.9,2,2,2.2,2.2,76.5,2,2,2.2,2.2,"3,382",60.5,2,2,2.2,2.2,66.3,2,2,2.2,2.2
531,2016,WASHINGTON,White,"4,628","4,353","3,403",73.5,2.2,2.1,2.3,2.3,78.2,2.2,2.1,2.3,2.3,"3,027",65.4,2.2,2.1,2.3,2.3,69.5,2.2,2.1,2.3,2.3
533,2016,WASHINGTON,Black,201,184,116,57.7,14,14.3,13.8,14.7,63.2,14,14.3,13.8,14.7,78,38.8,14,14.3,13.8,14.7,42.6,14,14.3,13.8,14.7
535,2016,WASHINGTON,Hispanic,656,465,292,44.6,10.1,11.7,9.6,12.1,62.9,10.1,11.7,9.6,12.1,219,33.4,10.1,11.7,9.6,12.1,47.2,10.1,11.7,9.6,12.1
539,2016,WEST VIRGINIA,Total,"1,434","1,425",913,63.6,2.8,2.8,2.9,2.9,64.1,2.8,2.8,2.9,2.9,723,50.4,2.8,2.8,2.9,2.9,50.8,2.8,2.8,2.9,2.9
542,2016,WEST VIRGINIA,White,"1,350","1,347",865,64,2.8,2.8,3,3,64.2,2.8,2.8,3,3,682,50.5,2.8,2.8,3,3,50.7,2.8,2.8,3,3
544,2016,WEST VIRGINIA,Black,48,47,27,B,B,B,B,B,B,B,B,B,B,24,B,B,B,B,B,B,B,B,B,B
546,2016,WEST VIRGINIA,Hispanic,13,9,4,B,B,B,B,B,B,B,B,B,B,3,B,B,B,B,B,B,B,B,B,B
550,2016,WISCONSIN,Total,"4,465","4,354","3,323",74.4,2.2,2.1,2.3,2.3,76.3,2.2,2.1,2.3,2.3,"3,068",68.7,2.2,2.1,2.3,2.3,70.5,2.2,2.1,2.3,2.3
553,2016,WISCONSIN,White,"4,079","3,998","3,130",76.7,2.2,2.2,2.4,2.3,78.3,2.2,2.2,2.4,2.3,"2,897",71,2.2,2.2,2.4,2.3,72.5,2.2,2.2,2.4,2.3
555,2016,WISCONSIN,Black,205,197,101,49.3,14,14.3,13.9,14.2,51.2,14,14.3,13.9,14.2,92,45.1,14,14.3,13.9,14.2,46.8,14,14.3,13.9,14.2
557,2016,WISCONSIN,Hispanic,329,260,136,41.2,14.1,16.1,13.6,16,52.1,14.1,16.1,13.6,16,111,33.8,14.1,16.1,13.6,16,42.8,14.1,16.1,13.6,16
561,2016,WYOMING,Total,436,427,304,69.7,2.7,2.7,2.8,2.8,71.1,2.7,2.7,2.8,2.8,277,63.5,2.7,2.7,2.8,2.8,64.8,2.7,2.7,2.8,2.8
564,2016,WYOMING,White,405,399,284,70.2,2.8,2.8,2.9,2.9,71.2,2.8,2.8,2.9,2.9,260,64.3,2.8,2.8,2.9,2.9,65.3,2.8,2.8,2.9,2.9
566,2016,WYOMING,Black,5,5,4,B,B,B,B,B,B,B,B,B,B,3,B,B,B,B,B,B,B,B,B,B
568,2016,WYOMING,Hispanic,32,26,15,B,B,B,B,B,B,B,B,B,B,12,B,B,B,B,B,B,B,B,B,B
0,2018,US,Total,"249,748","228,832","153,066",61.3,0.3,0.3,0.3,0.3,66.9,0.3,0.3,0.3,0.3,"122,281",49,0.3,0.3,0.3,0.3,53.4,0.3,0.3,0.3,0.3
3,2018,US,White,"194,127","180,522","123,727",63.7,0.3,0.3,0.3,0.4,68.5,0.3,0.3,0.3,0.4,"99,255",51.1,0.3,0.3,0.3,0.4,55,0.3,0.3,0.3,0.4
5,2018,US,Black,"31,623","29,758","19,023",60.2,1,1,1,1.1,63.9,1,1,1,1.1,"15,194",48,1,1,1,1.1,51.1,1,1,1,1.1
7,2018,US,Hispanic,"41,049","28,955","15,558",37.9,1.2,1.4,1.1,1.4,53.7,1.2,1.4,1.1,1.4,"11,695",28.5,1.2,1.4,1.1,1.4,40.4,1.2,1.4,1.1,1.4
11,2018,ALABAMA,Total,"3,753","3,609","2,490",66.4,2.5,2.5,2.7,2.7,69,2.5,2.5,2.7,2.7,"1,830",48.8,2.5,2.5,2.7,2.7,50.7,2.5,2.5,2.7,2.7
14,2018,ALABAMA,White,"2,610","2,534","1,774",68,3,3,3.2,3.2,70,3,3,3.2,3.2,"1,309",50.1,3,3,3.2,3.2,51.6,3,3,3.2,3.2
16,2018,ALABAMA,Black,976,975,657,67.2,5.9,5.9,6.3,6.3,67.4,5.9,5.9,6.3,6.3,483,49.4,5.9,5.9,6.3,6.3,49.5,5.9,5.9,6.3,6.3
18,2018,ALABAMA,Hispanic,169,77,26,15.6,14.3,27.8,13.4,26.6,34.3,14.3,27.8,13.4,26.6,22,13.2,14.3,27.8,13.4,26.6,29.1,14.3,27.8,13.4,26.6
22,2018,ALASKA,Total,523,497,337,64.4,2.7,2.7,2.9,2.9,67.7,2.7,2.7,2.9,2.9,263,50.2,2.7,2.7,2.9,2.9,52.8,2.7,2.7,2.9,2.9
25,2018,ALASKA,White,330,324,236,71.6,3.2,3.2,3.5,3.6,73,3.2,3.2,3.5,3.6,193,58.6,3.2,3.2,3.5,3.6,59.7,3.2,3.2,3.5,3.6
27,2018,ALASKA,Black,16,15,9,B,B,B,B,B,B,B,B,B,B,8,B,B,B,B,B,B,B,B,B,B
29,2018,ALASKA,Hispanic,20,18,10,B,B,B,B,B,B,B,B,B,B,8,B,B,B,B,B,B,B,B,B,B
33,2018,ARIZONA,Total,"5,361","4,757","3,262",60.8,2.2,2.2,2.3,2.4,68.6,2.2,2.2,2.3,2.4,"2,800",52.2,2.2,2.2,2.3,2.4,58.9,2.2,2.2,2.3,2.4
36,2018,ARIZONA,White,"4,635","4,168","2,968",64,2.3,2.3,2.4,2.5,71.2,2.3,2.3,2.4,2.5,"2,535",54.7,2.3,2.3,2.4,2.5,60.8,2.3,2.3,2.4,2.5
38,2018,ARIZONA,Black,257,222,114,44.4,12.4,13.5,12.3,13.4,51.5,12.4,13.5,12.3,13.4,104,40.6,12.4,13.5,12.3,13.4,47,12.4,13.5,12.3,13.4
40,2018,ARIZONA,Hispanic,"1,624","1,205",757,46.6,6.4,7.2,6.2,7.5,62.8,6.4,7.2,6.2,7.5,588,36.2,6.4,7.2,6.2,7.5,48.8,6.4,7.2,6.2,7.5
44,2018,ARKANSAS,Total,"2,261","2,158","1,262",55.8,2.7,2.8,2.7,2.8,58.5,2.7,2.8,2.7,2.8,919,40.6,2.7,2.8,2.7,2.8,42.6,2.7,2.8,2.7,2.8
47,2018,ARKANSAS,White,"1,833","1,765","1,031",56.2,3,3.1,3,3.1,58.4,3,3.1,3,3.1,756,41.3,3,3.1,3,3.1,42.8,3,3.1,3,3.1
49,2018,ARKANSAS,Black,327,317,178,54.5,8.8,8.9,8.6,8.8,56.1,8.8,8.9,8.6,8.8,132,40.3,8.8,8.9,8.6,8.8,41.6,8.8,8.9,8.6,8.8
51,2018,ARKANSAS,Hispanic,172,102,43,25.2,13.7,20.2,10.4,16.6,42.3,13.7,20.2,10.4,16.6,21,12.3,13.7,20.2,10.4,16.6,20.8,13.7,20.2,10.4,16.6
55,2018,CALIFORNIA,Total,"30,243","25,525","15,690",51.9,1,1,0.9,1,61.5,1,1,0.9,1,"13,240",43.8,1,1,0.9,1,51.9,1,1,0.9,1
58,2018,CALIFORNIA,White,"21,467","18,311","11,711",54.6,1.1,1.2,1.1,1.2,64,1.1,1.2,1.1,1.2,"10,005",46.6,1.1,1.2,1.1,1.2,54.6,1.1,1.2,1.1,1.2
60,2018,CALIFORNIA,Black,"1,912","1,845","1,061",55.5,4.6,4.6,4.6,4.7,57.5,4.6,4.6,4.6,4.7,933,48.8,4.6,4.6,4.6,4.7,50.6,4.6,4.6,4.6,4.7
62,2018,CALIFORNIA,Hispanic,"10,595","7,613","4,211",39.7,2.5,3,2.3,3,55.3,2.5,3,2.3,3,"3,300",31.1,2.5,3,2.3,3,43.3,2.5,3,2.3,3
66,2018,COLORADO,Total,"4,353","4,029","2,645",60.8,2.5,2.5,2.5,2.6,65.6,2.5,2.5,2.5,2.6,"2,342",53.8,2.5,2.5,2.5,2.6,58.1,2.5,2.5,2.5,2.6
69,2018,COLORADO,White,"3,911","3,666","2,439",62.4,2.6,2.6,2.6,2.7,66.5,2.6,2.6,2.6,2.7,"2,185",55.9,2.6,2.6,2.6,2.7,59.6,2.6,2.6,2.6,2.7
71,2018,COLORADO,Black,185,170,73,39.6,14.5,15.3,13.3,14.2,43.1,14.5,15.3,13.3,14.2,51,27.8,14.5,15.3,13.3,14.2,30.3,14.5,15.3,13.3,14.2
73,2018,COLORADO,Hispanic,806,590,323,40.1,9,10.7,8.6,10.7,54.8,9,10.7,8.6,10.7,259,32.1,9,10.7,8.6,10.7,43.9,9,10.7,8.6,10.7
77,2018,CONNECTICUT,Total,"2,834","2,539","1,726",60.9,2.6,2.7,2.7,2.9,68,2.6,2.7,2.7,2.9,"1,370",48.3,2.6,2.7,2.7,2.9,54,2.6,2.7,2.7,2.9
80,2018,CONNECTICUT,White,"2,326","2,141","1,483",63.8,2.9,2.9,3,3.1,69.3,2.9,2.9,3,3.1,"1,193",51.3,2.9,2.9,3,3.1,55.7,2.9,2.9,3,3.1
82,2018,CONNECTICUT,Black,319,258,158,49.6,9.8,10.6,9.5,10.9,61.3,9.8,10.6,9.5,10.9,124,39,9.8,10.6,9.5,10.9,48.2,9.8,10.6,9.5,10.9
84,2018,CONNECTICUT,Hispanic,464,293,164,35.3,10.1,13.2,9.2,13,55.9,10.1,13.2,9.2,13,120,25.9,10.1,13.2,9.2,13,41.1,10.1,13.2,9.2,13
88,2018,DELAWARE,Total,756,713,472,62.4,2.6,2.6,2.7,2.8,66.3,2.6,2.6,2.7,2.8,369,48.8,2.6,2.6,2.7,2.8,51.8,2.6,2.6,2.7,2.8
91,2018,DELAWARE,White,540,513,340,62.9,3.1,3.1,3.2,3.3,66.2,3.1,3.1,3.2,3.3,264,48.8,3.1,3.1,3.2,3.3,51.4,3.1,3.1,3.2,3.3
93,2018,DELAWARE,Black,163,159,109,66.5,6.6,6.6,7,7,68.2,6.6,6.6,7,7,90,54.8,6.6,6.6,7,7,56.2,6.6,6.6,7,7
95,2018,DELAWARE,Hispanic,73,52,27,B,B,B,B,B,B,B,B,B,B,20,B,B,B,B,B,B,B,B,B,B
99,2018,DISTRICT OF COLUMBIA,Total,567,512,397,70,2.5,2.4,2.7,2.8,77.6,2.5,2.4,2.7,2.8,313,55.2,2.5,2.4,2.7,2.8,61.1,2.5,2.4,2.7,2.8
102,2018,DISTRICT OF COLUMBIA,White,270,247,207,76.5,3.4,3.1,3.9,3.9,83.5,3.4,3.1,3.9,3.9,168,62.1,3.4,3.1,3.9,3.9,67.8,3.4,3.1,3.9,3.9
104,2018,DISTRICT OF COLUMBIA,Black,251,228,163,65.2,4.8,4.7,5,5.2,71.7,4.8,4.7,5,5.2,123,48.9,4.8,4.7,5,5.2,53.7,4.8,4.7,5,5.2
106,2018,DISTRICT OF COLUMBIA,Hispanic,53,35,24,B,B,B,B,B,B,B,B,B,B,20,B,B,B,B,B,B,B,B,B,B
110,2018,FLORIDA,Total,"16,845","15,047","9,435",56,1.2,1.3,1.3,1.3,62.7,1.2,1.3,1.3,1.3,"7,918",47,1.2,1.3,1.3,1.3,52.6,1.2,1.3,1.3,1.3
113,2018,FLORIDA,White,"13,425","12,154","7,798",58.1,1.4,1.4,1.4,1.5,64.2,1.4,1.4,1.4,1.5,"6,579",49,1.4,1.4,1.4,1.5,54.1,1.4,1.4,1.4,1.5
115,2018,FLORIDA,Black,"2,644","2,317","1,340",50.7,3.8,4,3.8,4.1,57.9,3.8,4,3.8,4.1,"1,094",41.4,3.8,4,3.8,4.1,47.2,3.8,4,3.8,4.1
117,2018,FLORIDA,Hispanic,"4,288","3,146","1,723",40.2,3.8,4.5,3.7,4.5,54.8,3.8,4.5,3.7,4.5,"1,393",32.5,3.8,4.5,3.7,4.5,44.3,3.8,4.5,3.7,4.5
121,2018,GEORGIA,Total,"7,850","7,311","4,840",61.7,1.8,1.8,1.9,1.9,66.2,1.8,1.8,1.9,1.9,"4,084",52,1.8,1.8,1.9,1.9,55.9,1.8,1.8,1.9,1.9
124,2018,GEORGIA,White,"4,949","4,686","3,093",62.5,2.3,2.3,2.4,2.4,66,2.3,2.3,2.4,2.4,"2,581",52.2,2.3,2.3,2.4,2.4,55.1,2.3,2.3,2.4,2.4
126,2018,GEORGIA,Black,"2,439","2,305","1,577",64.7,3.9,3.9,4,4.1,68.4,3.9,3.9,4,4.1,"1,374",56.3,3.9,3.9,4,4.1,59.6,3.9,3.9,4,4.1
128,2018,GEORGIA,Hispanic,525,264,135,25.7,9.9,16,9,15.6,51.2,9.9,16,9,15.6,101,19.2,9.9,16,9,15.6,38.2,9.9,16,9,15.6
132,2018,HAWAII,Total,"1,057",971,523,49.5,2.7,2.8,2.7,2.8,53.9,2.7,2.8,2.7,2.8,427,40.4,2.7,2.8,2.7,2.8,44,2.7,2.8,2.7,2.8
135,2018,HAWAII,White,237,231,137,57.9,5.7,5.7,5.7,5.8,59.3,5.7,5.7,5.7,5.8,111,46.8,5.7,5.7,5.7,5.8,47.9,5.7,5.7,5.7,5.8
137,2018,HAWAII,Black,22,21,10,B,B,B,B,B,B,B,B,B,B,4,B,B,B,B,B,B,B,B,B,B
139,2018,HAWAII,Hispanic,82,79,34,41.3,15.1,15.4,14,14.4,42.9,15.1,15.4,14,14.4,25,29.7,15.1,15.4,14,14.4,30.9,15.1,15.4,14,14.4
143,2018,IDAHO,Total,"1,299","1,226",743,57.2,2.7,2.7,2.7,2.8,60.6,2.7,2.7,2.7,2.8,587,45.2,2.7,2.7,2.7,2.8,47.9,2.7,2.7,2.7,2.8
146,2018,IDAHO,White,"1,214","1,163",708,58.3,2.8,2.8,2.8,2.8,60.9,2.8,2.8,2.8,2.8,555,45.7,2.8,2.8,2.8,2.8,47.7,2.8,2.8,2.8,2.8
148,2018,IDAHO,Black,8,8,8,B,B,B,B,B,B,B,B,B,B,6,B,B,B,B,B,B,B,B,B,B
150,2018,IDAHO,Hispanic,182,126,51,27.7,10.1,13.3,8.4,11.6,40,10.1,13.3,8.4,11.6,30,16.5,10.1,13.3,8.4,11.6,23.8,10.1,13.3,8.4,11.6
154,2018,ILLINOIS,Total,"9,732","8,947","6,068",62.4,1.6,1.6,1.7,1.7,67.8,1.6,1.6,1.7,1.7,"4,740",48.7,1.6,1.6,1.7,1.7,53,1.6,1.6,1.7,1.7
157,2018,ILLINOIS,White,"7,564","7,078","4,892",64.7,1.8,1.8,1.9,2,69.1,1.8,1.8,1.9,2,"3,802",50.3,1.8,1.8,1.9,2,53.7,1.8,1.8,1.9,2
159,2018,ILLINOIS,Black,"1,334","1,274",861,64.5,5.3,5.3,5.5,5.6,67.6,5.3,5.3,5.5,5.6,723,54.2,5.3,5.3,5.5,5.6,56.8,5.3,5.3,5.5,5.6
161,2018,ILLINOIS,Hispanic,"1,458","1,061",537,36.8,6.6,8,5.8,7.5,50.6,6.6,8,5.8,7.5,354,24.3,6.6,8,5.8,7.5,33.3,6.6,8,5.8,7.5
165,2018,INDIANA,Total,"5,006","4,792","3,131",62.5,2.2,2.3,2.3,2.4,65.3,2.2,2.3,2.3,2.4,"2,364",47.2,2.2,2.3,2.3,2.4,49.3,2.2,2.3,2.3,2.4
168,2018,INDIANA,White,"4,260","4,125","2,723",63.9,2.4,2.4,2.5,2.6,66,2.4,2.4,2.5,2.6,"2,066",48.5,2.4,2.4,2.5,2.6,50.1,2.4,2.4,2.5,2.6
170,2018,INDIANA,Black,484,468,299,61.8,8.8,8.8,9,9.2,63.9,8.8,8.8,9,9.2,221,45.7,8.8,8.8,9,9.2,47.2,8.8,8.8,9,9.2
172,2018,INDIANA,Hispanic,337,212,96,28.4,12.7,17.7,11.8,17.1,45.2,12.7,17.7,11.8,17.1,77,22.9,12.7,17.7,11.8,17.1,36.5,12.7,17.7,11.8,17.1
176,2018,IOWA,Total,"2,376","2,239","1,658",69.8,2.6,2.5,2.8,2.8,74,2.6,2.5,2.8,2.8,"1,335",56.2,2.6,2.5,2.8,2.8,59.6,2.6,2.5,2.8,2.8
179,2018,IOWA,White,"2,192","2,119","1,580",72.1,2.6,2.6,2.9,2.9,74.5,2.6,2.6,2.9,2.9,"1,270",57.9,2.6,2.6,2.9,2.9,59.9,2.6,2.6,2.9,2.9
181,2018,IOWA,Black,89,76,47,52.6,17.4,18.3,17.4,18.8,61.3,17.4,18.3,17.4,18.8,41,46.4,17.4,18.3,17.4,18.8,54.1,17.4,18.3,17.4,18.8
183,2018,IOWA,Hispanic,206,148,85,41.5,14.7,17.4,14.1,17.5,57.8,14.7,17.4,14.1,17.5,69,33.5,14.7,17.4,14.1,17.5,46.7,14.7,17.4,14.1,17.5
187,2018,KANSAS,Total,"2,149","2,026","1,449",67.4,2.8,2.8,3,3,71.5,2.8,2.8,3,3,"1,152",53.6,2.8,2.8,3,3,56.9,2.8,2.8,3,3
190,2018,KANSAS,White,"1,880","1,777","1,311",69.7,2.9,2.9,3.2,3.2,73.8,2.9,2.9,3.2,3.2,"1,028",54.7,2.9,2.9,3.2,3.2,57.8,2.9,2.9,3.2,3.2
192,2018,KANSAS,Black,129,125,65,50.1,14.7,15,14.7,15,51.9,14.7,15,14.7,15,58,44.9,14.7,15,14.7,15,46.5,14.7,15,14.7,15
194,2018,KANSAS,Hispanic,231,134,71,30.8,13.2,18.8,12.2,18.5,53.3,13.2,18.8,12.2,18.5,55,23.9,13.2,18.8,12.2,18.5,41.4,13.2,18.8,12.2,18.5
198,2018,KENTUCKY,Total,"3,370","3,249","2,389",70.9,2.6,2.6,2.9,2.9,73.5,2.6,2.6,2.9,2.9,"1,746",51.8,2.6,2.6,2.9,2.9,53.8,2.6,2.6,2.9,2.9
201,2018,KENTUCKY,White,"3,014","2,954","2,194",72.8,2.7,2.7,3,3,74.3,2.7,2.7,3,3,"1,587",52.7,2.7,2.7,3,3,53.7,2.7,2.7,3,3
203,2018,KENTUCKY,Black,248,233,164,66.2,12,12,12.7,13,70.7,12,12,12.7,13,131,52.8,12,12,12.7,13,56.4,12,12,12.7,13
205,2018,KENTUCKY,Hispanic,96,37,15,15.8,19.4,B,17.8,B,B,19.4,B,17.8,B,12,12.9,19.4,B,17.8,B,B,19.4,B,17.8,B
209,2018,LOUISIANA,Total,"3,458","3,326","2,263",65.4,2.6,2.6,2.7,2.7,68,2.6,2.6,2.7,2.7,"1,656",47.9,2.6,2.6,2.7,2.7,49.8,2.6,2.6,2.7,2.7
212,2018,LOUISIANA,White,"2,212","2,120","1,501",67.9,3.1,3.1,3.4,3.4,70.8,3.1,3.1,3.4,3.4,"1,075",48.6,3.1,3.1,3.4,3.4,50.7,3.1,3.1,3.4,3.4
214,2018,LOUISIANA,Black,"1,076","1,072",688,63.9,5.6,5.6,5.8,5.9,64.1,5.6,5.6,5.8,5.9,531,49.4,5.6,5.6,5.8,5.9,49.5,5.6,5.6,5.8,5.9
216,2018,LOUISIANA,Hispanic,189,112,56,29.7,16.5,23.5,14,21.8,50.2,16.5,23.5,14,21.8,35,18.4,16.5,23.5,14,21.8,31.1,16.5,23.5,14,21.8
220,2018,MAINE,Total,"1,074","1,056",828,77.1,2.6,2.5,2.9,2.9,78.4,2.6,2.5,2.9,2.9,693,64.5,2.6,2.5,2.9,2.9,65.6,2.6,2.5,2.9,2.9
223,2018,MAINE,White,"1,011","1,002",796,78.7,2.6,2.5,3,3,79.4,2.6,2.5,3,3,669,66.2,2.6,2.5,3,3,66.8,2.6,2.5,3,3
225,2018,MAINE,Black,17,11,5,B,B,B,B,B,B,B,B,B,B,3,B,B,B,B,B,B,B,B,B,B
227,2018,MAINE,Hispanic,11,10,8,B,B,B,B,B,B,B,B,B,B,3,B,B,B,B,B,B,B,B,B,B
231,2018,MARYLAND,Total,"4,666","4,281","3,095",66.3,2.3,2.3,2.5,2.6,72.3,2.3,2.3,2.5,2.6,"2,320",49.7,2.3,2.3,2.5,2.6,54.2,2.3,2.3,2.5,2.6
234,2018,MARYLAND,White,"2,800","2,635","2,021",72.2,2.8,2.8,3.2,3.2,76.7,2.8,2.8,3.2,3.2,"1,536",54.9,2.8,2.8,3.2,3.2,58.3,2.8,2.8,3.2,3.2
236,2018,MARYLAND,Black,"1,414","1,293",856,60.5,5.3,5.3,5.4,5.6,66.2,5.3,5.3,5.4,5.6,630,44.5,5.3,5.3,5.4,5.6,48.7,5.3,5.3,5.4,5.6
238,2018,MARYLAND,Hispanic,500,328,195,39,11.5,14.3,11,14.6,59.5,11.5,14.3,11,14.6,158,31.7,11.5,14.3,11,14.6,48.3,11.5,14.3,11,14.6
242,2018,MASSACHUSETTS,Total,"5,460","4,919","3,345",61.3,2.2,2.2,2.2,2.3,68,2.2,2.2,2.2,2.3,"2,731",50,2.2,2.2,2.2,2.3,55.5,2.2,2.2,2.2,2.3
245,2018,MASSACHUSETTS,White,"4,417","4,156","2,934",66.4,2.3,2.3,2.5,2.5,70.6,2.3,2.3,2.5,2.5,"2,397",54.3,2.3,2.3,2.5,2.5,57.7,2.3,2.3,2.5,2.5
247,2018,MASSACHUSETTS,Black,454,413,240,52.8,9.3,9.6,9.2,9.7,58,9.3,9.6,9.2,9.7,194,42.7,9.3,9.6,9.2,9.7,47,9.3,9.6,9.2,9.7
249,2018,MASSACHUSETTS,Hispanic,565,414,249,44.1,10.7,12.4,10,12.5,60.2,10.7,12.4,10,12.5,177,31.3,10.7,12.4,10,12.5,42.7,10.7,12.4,10,12.5
253,2018,MICHIGAN,Total,"7,657","7,430","5,453",71.2,1.7,1.7,1.9,1.9,73.4,1.7,1.7,1.9,1.9,"4,418",57.7,1.7,1.7,1.9,1.9,59.5,1.7,1.7,1.9,1.9
256,2018,MICHIGAN,White,"6,257","6,171","4,620",73.8,1.8,1.8,2,2.1,74.9,1.8,1.8,2,2.1,"3,724",59.5,1.8,1.8,2,2.1,60.4,1.8,1.8,2,2.1
258,2018,MICHIGAN,Black,"1,027","1,003",670,65.2,5.9,5.9,6.2,6.3,66.8,5.9,5.9,6.2,6.3,557,54.2,5.9,5.9,6.2,6.3,55.5,5.9,5.9,6.2,6.3
260,2018,MICHIGAN,Hispanic,241,203,99,41.1,16.4,18.2,15.8,17.8,48.9,16.4,18.2,15.8,17.8,81,33.8,16.4,18.2,15.8,17.8,40.1,16.4,18.2,15.8,17.8
264,2018,MINNESOTA,Total,"4,238","4,006","3,000",70.8,2.3,2.3,2.5,2.5,74.9,2.3,2.3,2.5,2.5,"2,523",59.5,2.3,2.3,2.5,2.5,63,2.3,2.3,2.5,2.5
267,2018,MINNESOTA,White,"3,632","3,537","2,727",75.1,2.4,2.3,2.7,2.7,77.1,2.4,2.3,2.7,2.7,"2,286",62.9,2.4,2.3,2.7,2.7,64.7,2.4,2.3,2.7,2.7
269,2018,MINNESOTA,Black,252,194,128,50.8,12.6,13.6,12.5,14.3,66.1,12.6,13.6,12.5,14.3,106,42.1,12.6,13.6,12.5,14.3,54.7,12.6,13.6,12.5,14.3
271,2018,MINNESOTA,Hispanic,156,65,44,28.2,18.7,B,17.7,B,B,18.7,B,17.7,B,37,23.8,18.7,B,17.7,B,B,18.7,B,17.7,B
275,2018,MISSISSIPPI,Total,"2,194","2,178","1,599",72.9,2.5,2.5,2.8,2.8,73.4,2.5,2.5,2.8,2.8,"1,180",53.8,2.5,2.5,2.8,2.8,54.2,2.5,2.5,2.8,2.8
278,2018,MISSISSIPPI,White,"1,353","1,341",956,70.6,3.2,3.2,3.5,3.5,71.2,3.2,3.2,3.5,3.5,688,50.9,3.2,3.2,3.5,3.5,51.3,3.2,3.2,3.5,3.5
280,2018,MISSISSIPPI,Black,798,796,621,77.8,4.6,4.6,5.4,5.5,78.1,4.6,4.6,5.4,5.5,476,59.6,4.6,4.6,5.4,5.5,59.8,4.6,4.6,5.4,5.5
282,2018,MISSISSIPPI,Hispanic,44,33,16,B,B,B,B,B,B,B,B,B,B,11,B,B,B,B,B,B,B,B,B,B
286,2018,MISSOURI,Total,"4,676","4,564","3,299",70.6,2.2,2.2,2.4,2.5,72.3,2.2,2.2,2.4,2.5,"2,509",53.7,2.2,2.2,2.4,2.5,55,2.2,2.2,2.4,2.5
