Year,State,Race,Total population,Total voted,Education,Income,Political Power
2012,TEXAS,Black,2213,1352,0.460829763511531,18900.0,-0.7884023183918762
2012,UTAH,White,1780,989,0.5825724133760658,26000.0,0.14543370538070155
2012,UTAH,Black,23,9,0.5496688741721855,14000.0,-1.4101079577055813
2012,VERMONT,White,470,293,0.5380660470634764,25500.0,0.0726121667389374
2012,VERMONT,Black,5,3,0.4,9000.0,-2.0779025009917143
2012,VIRGINIA,White,4496,2872,0.5809572756524848,32600.0,1.0006375353595187
2012,VIRGINIA,Black,1133,715,0.4497661175513524,21100.0,-0.5075850497214061
2012,WASHINGTON,White,4301,2696,0.5867147147147147,30000.0,0.6656959320706441
2012,WASHINGTON,Black,162,72,0.5138999205718825,24000.0,-0.12503219241230581
2012,WEST VIRGINIA,White,1391,665,0.37290786798060377,21000.0,-0.5320261500419092
2012,WEST VIRGINIA,Black,40,19,0.35198135198135205,14000.0,-1.4399557874780773
2012,WISCONSIN,White,3920,2854,0.4718033263831644,26300.0,0.1709081524400285
2012,WISCONSIN,Black,242,178,0.369533527696793,13850.0,-1.4563496627873778
2012,WYOMING,White,403,240,0.5109359104781281,28000.0,0.39099169610928
2012,WYOMING,Black,3,1,0.43478260869565216,19200.0,-0.7565178355265766
2014,ALABAMA,White,2586,1045,0.4782591740435986,25000.0,0.0011423013001048514
2014,ALABAMA,Black,922,414,0.38346337780015105,15745.0,-1.2090658777840002
2014,ALASKA,White,340,188,0.5891639756010046,39000.0,1.822071035334145
2014,ALASKA,Black,18,6,0.5,23800.0,-0.15309939503792533
2014,ARIZONA,White,4226,1583,0.5713002531369934,28200.0,0.429662504628999
2014,ARIZONA,Black,215,66,0.5701239399869537,22000.0,-0.37458147622847104
2014,ARKANSAS,White,1763,661,0.42875049854709135,22000.0,-0.39436179683067385
2014,ARKANSAS,Black,307,116,0.3618297712785902,16200.0,-1.1543304669883145
2014,CALIFORNIA,White,21429,7093,0.587025497456275,30000.0,0.6804692133343616
2014,CALIFORNIA,Black,1846,535,0.5565237157145022,21700.0,-0.41388036817577517
2014,COLORADO,White,3637,2085,0.6315774062252936,32000.0,0.9294125001690328
2014,COLORADO,Black,147,56,0.5353535353535354,23000.0,-0.2508515272418697
2014,CONNECTICUT,White,2344,1065,0.593093026356727,36900.0,1.5538769971132451
2014,CONNECTICUT,Black,291,83,0.4577300326950024,22000.0,-0.39150144137901044
2014,DELAWARE,White,510,229,0.5266260935717003,31800.0,0.8837298012639933
2014,DELAWARE,Black,147,59,0.4675446848541863,24000.0,-0.13206067929184923
2014,DISTRICT OF COLUMBIA,White,251,123,0.9046038987971796,65000.0,5.224450915227892
2014,DISTRICT OF COLUMBIA,Black,248,114,0.4615384615384616,23200.0,-0.23607074027514283
2014,FLORIDA,White,12507,5071,0.5446672625194159,26400.0,0.2022196215768122
2014,FLORIDA,Black,2331,929,0.4332691971313626,19400.0,-0.7285212226064731
2014,GEORGIA,White,4569,1866,0.5352677983945255,28100.0,0.4118560060175249
2014,GEORGIA,Black,2199,925,0.4504970880640038,19000.0,-0.7776069789079104
2014,HAWAII,White,228,95,0.6724627395315826,36000.0,1.447381741595495
2014,HAWAII,Black,19,7,0.5535714285714286,34150.0,1.1904844531583827
2014,IDAHO,White,1110,452,0.5141541776863552,24000.0,-0.12400616225383533
2014,IDAHO,Black,10,0,0.5,15600.0,-1.2111787935380176
2014,ILLINOIS,White,7648,3070,0.5432066984608714,30000.0,0.6613870483620513
2014,ILLINOIS,Black,1348,535,0.4813445012509518,19200.0,-0.7480878563387996
2014,INDIANA,White,4365,1498,0.4533733133433283,25700.0,0.08922989937487898
2014,INDIANA,Black,395,143,0.4213755247013239,18000.0,-0.9129934552315445
2014,IOWA,White,2171,1154,0.4859634659608626,27000.0,0.26028700084241896
2014,IOWA,Black,69,20,0.4332425068119891,15000.0,-1.298628225158534
2014,KANSAS,White,1853,873,0.5182481751824818,27000.0,0.26463988752946327
2014,KANSAS,Black,129,53,0.43333333333333335,20000.0,-0.6533775611407439
2014,KENTUCKY,White,2943,1367,0.4493758201823749,24000.0,-0.13165662169081097
2014,KENTUCKY,Black,271,117,0.4107321965897693,17060.0,-1.035991523491239
2014,LOUISIANA,White,2250,1094,0.4834947804006395,28600.0,0.4663327429986456
